date,pred_total,yhat_lower,yhat_upper,pred_peak_hour,pred_peak_rps,est_max_concurrent
2025-12-30,433849,298571.0419360838,580866.6228902579,78093,21.692453386454144,108.5
2025-12-31,432508,297970.0519968388,566920.5125338031,77851,21.6254154791357,108.1
2026-01-01,489820,347199.2265851177,627595.295510984,88168,24.490988803033716,122.5
2026-01-02,505610,367164.88833229244,648147.0805246934,91010,25.28048874813551,126.4
2026-01-03,463056,328370.6970703721,612150.1160375824,83350,23.152812719608423,115.8
2026-01-04,278359,151162.26393509834,413116.55563092243,50105,13.917970685081787,69.6
2026-01-05,234763,94907.57810799769,378820.0397429877,42257,11.738128438862041,58.7
2026-01-06,129945,0.0,269358.9374589281,23390,6.497253209167346,32.5
2026-01-07,0,0.0,11410.370107118018,0,0.0,0.0
2026-01-08,0,0.0,0.0,0,0.0,0.0
2026-01-09,0,0.0,0.0,0,0.0,0.0
2026-01-10,0,0.0,0.0,0,0.0,0.0
2026-01-11,0,0.0,0.0,0,0.0,0.0
2026-01-12,0,0.0,0.0,0,0.0,0.0
2026-01-13,0,0.0,0.0,0,0.0,0.0
2026-01-14,0,0.0,0.0,0,0.0,0.0
2026-01-15,0,0.0,0.0,0,0.0,0.0
2026-01-16,0,0.0,0.0,0,0.0,0.0
2026-01-17,0,0.0,0.0,0,0.0,0.0
2026-01-18,0,0.0,0.0,0,0.0,0.0
2026-01-19,0,0.0,0.0,0,0.0,0.0
2026-01-20,0,0.0,0.0,0,0.0,0.0
2026-01-21,0,0.0,0.0,0,0.0,0.0
2026-01-22,0,0.0,0.0,0,0.0,0.0
2026-01-23,0,0.0,0.0,0,0.0,0.0
2026-01-24,0,0.0,0.0,0,0.0,0.0
2026-01-25,0,0.0,0.0,0,0.0,0.0
2026-01-26,0,0.0,0.0,0,0.0,0.0
2026-01-27,0,0.0,0.0,0,0.0,0.0
2026-01-28,0,0.0,0.0,0,0.0,0.0
2026-01-29,0,0.0,0.0,0,0.0,0.0
2026-01-30,0,0.0,0.0,0,0.0,0.0
2026-01-31,0,0.0,0.0,0,0.0,0.0
2026-02-01,0,0.0,0.0,0,0.0,0.0
2026-02-02,0,0.0,0.0,0,0.0,0.0
2026-02-03,0,0.0,0.0,0,0.0,0.0
2026-02-04,0,0.0,0.0,0,0.0,0.0
2026-02-05,0,0.0,0.0,0,0.0,0.0
2026-02-06,0,0.0,0.0,0,0.0,0.0
2026-02-07,0,0.0,0.0,0,0.0,0.0
2026-02-08,0,0.0,0.0,0,0.0,0.0
2026-02-09,0,0.0,0.0,0,0.0,0.0
2026-02-10,0,0.0,0.0,0,0.0,0.0
2026-02-11,0,0.0,0.0,0,0.0,0.0
2026-02-12,0,0.0,0.0,0,0.0,0.0
2026-02-13,0,0.0,0.0,0,0.0,0.0
2026-02-14,0,0.0,0.0,0,0.0,0.0
2026-02-15,0,0.0,0.0,0,0.0,0.0
2026-02-16,0,0.0,0.0,0,0.0,0.0
2026-02-17,0,0.0,0.0,0,0.0,0.0
2026-02-18,0,0.0,0.0,0,0.0,0.0
2026-02-19,0,0.0,0.0,0,0.0,0.0
2026-02-20,0,0.0,0.0,0,0.0,0.0
2026-02-21,0,0.0,0.0,0,0.0,0.0
2026-02-22,0,0.0,0.0,0,0.0,0.0
2026-02-23,0,0.0,0.0,0,0.0,0.0
2026-02-24,0,0.0,0.0,0,0.0,0.0
2026-02-25,0,0.0,0.0,0,0.0,0.0
2026-02-26,0,0.0,0.0,0,0.0,0.0
2026-02-27,0,0.0,0.0,0,0.0,0.0
2026-02-28,0,0.0,0.0,0,0.0,0.0
2026-03-01,5476483,5342826.105504262,5621341.191670822,985767,273.8241424406536,1369.1
2026-03-02,19736002,19589825.694975503,19877514.348533634,3552480,986.8000970689725,4934.0
2026-03-03,33797256,33652710.15788207,33936919.77510222,6083506,1689.862809090694,8449.3
2026-03-04,47401612,47272705.86812424,47547835.9946593,8532290,2370.0806211858403,11850.4
2026-03-05,60530614,60390811.73031192,60669678.505677,10895511,3026.5307130679444,15132.7
2026-03-06,72923248,72784288.07512236,73070478.48942599,13126185,3646.162405709975,18230.8
2026-03-07,84412107,84273325.99543078,84553241.34848914,15194179,4220.6053614233115,21103.0
2026-03-08,94776165,94632155.59834976,94912639.5501833,17059710,4738.808238902844,23694.0
2026-03-09,104177720,104031105.60511237,104317482.5040962,18751990,5208.886008585425,26044.4
2026-03-10,112312470,112178739.90779945,112449055.26089107,20216245,5615.623520819697,28078.1
2026-03-11,119001466,118862099.91136654,119148022.40893395,21420264,5950.073279063169,29750.4
2026-03-12,124324736,124180529.36489011,124477305.53514464,22378452,6216.236779377949,31081.2
2026-03-13,128137090,128001542.02884586,128281503.44536021,23064676,6406.854519463823,32034.3
2026-03-14,130402424,130251655.8932283,130534764.31536376,23472436,6520.121207281339,32600.6
2026-03-15,131044264,130900373.14291248,131187429.02497205,23587968,6552.213209681807,32761.1
2026-03-16,130380168,130236681.95741935,130520276.02288848,23468430,6519.008378193833,32595.0
2026-03-17,128268964,128127807.74408309,128411145.70201966,23088413,6413.448193755116,32067.2
2026-03-18,124699658,124557535.65731487,124839230.16845661,22445938,6234.982905712712,31174.9
2026-03-19,119921841,119788293.61901267,120065459.05859482,21585931,5996.092069302183,29980.5
2026-03-20,113958178,113817903.37251674,114091640.58358449,20512472,5697.908884930425,28489.5
2026-03-21,106935367,106795929.14918435,107073929.42035788,19248366,5346.768356007697,26733.8
2026-03-22,98931398,98776960.60767208,99066390.99369934,17807652,4946.569902496741,24732.8
2026-03-23,90406764,90268819.73504664,90550230.2398853,16273217,4520.338193298928,22601.7
2026-03-24,81348714,81211101.16922529,81490146.39996636,14642769,4067.435710908421,20337.2
2026-03-25,71857423,71725533.16336446,71997016.93478285,12934336,3592.871157188855,17964.4
2026-03-26,62273986,62140435.29124567,62415843.32524135,11209318,3113.6993174223953,15568.5
2026-03-27,52690874,52549758.55270332,52832002.72240013,9484357,2634.543699483803,13172.7
2026-03-28,43281290,43136437.32888185,43435834.42793197,7790632,2164.064505724647,10820.3
2026-03-29,34145294,33998501.79382361,34273120.06996608,6146153,1707.2646769714643,8536.3
2026-03-30,25740388,25606042.391785286,25884602.998837758,4633270,1287.0193787632604,6435.1
2026-03-31,18025670,17891596.227345992,18173069.392439995,3244621,901.2835088963694,4506.4
2026-04-01,11048437,10904534.18620641,11184631.306462174,1988719,552.4218255759004,2762.1
2026-04-02,5073144,4933570.749691778,5208044.92226956,913166,253.6572074730993,1268.3
2026-04-03,93353,0.0,231137.12859902912,16804,4.667653285724297,23.3
2026-04-04,0,0.0,0.0,0,0.0,0.0
2026-04-05,0,0.0,0.0,0,0.0,0.0
2026-04-06,0,0.0,0.0,0,0.0,0.0
2026-04-07,0,0.0,0.0,0,0.0,0.0
2026-04-08,0,0.0,0.0,0,0.0,0.0
2026-04-09,0,0.0,0.0,0,0.0,0.0
